Numer iteracji;Najlepszy;Sredni;Najgorszy
0;9;12;15
1;9;12;15
2;9;13;16
3;9;13;16
4;9;12;15
5;9;12;15
6;9;12;15
7;9;12;14
8;9;12;14
9;9;12;14
10;9;12;14
11;9;12;14
12;9;12;14
13;9;12;15
14;9;12;15
15;9;12;15
16;9;12;14
17;9;12;14
18;9;12;14
19;9;12;14
20;9;12;14
21;9;12;14
22;9;12;14
23;9;12;15
24;9;12;14
25;9;12;15
26;9;12;14
27;9;12;15
28;9;12;14
29;9;12;15
30;9;12;14
31;9;12;15
32;9;12;15
33;9;12;15
34;9;12;14
35;9;12;15
36;9;12;15
37;9;12;15
38;9;12;15
39;9;12;14
40;9;12;14
41;9;12;15
42;9;12;14
43;9;12;15
44;9;12;15
45;9;12;14
46;9;12;15
47;9;12;14
48;9;12;14
49;9;12;14
50;9;12;14
51;9;12;14
52;9;12;14
53;9;12;14
54;9;12;14
55;9;12;14
56;9;12;15
57;9;12;14
58;9;12;14
59;9;12;14
60;9;12;14
61;9;12;14
62;9;12;14
63;9;12;14
64;9;12;15
65;9;12;14
66;9;12;14
67;9;12;14
68;9;12;14
69;9;12;14
70;9;12;14
71;9;12;15
72;9;12;14
73;9;12;14
74;9;12;14
75;9;12;14
76;9;12;15
77;9;12;15
78;9;12;14
79;9;12;15
80;9;12;14
81;9;11;13
82;9;12;14
83;9;12;14
84;9;12;14
85;9;12;15
86;9;12;14
87;9;12;15
88;9;12;14
89;9;12;15
90;9;12;14
91;9;12;14
92;9;12;14
93;9;12;14
94;9;12;14
95;9;12;15
96;9;12;14
97;9;12;15
98;9;12;14
99;9;12;14
100;9;12;15
