Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;10;11;12;12;11
1;11;12;13;11;11
2;10;11;12;10;10
3;9;10;11;11;10
4;10;11;12;12;10
5;11;12;13;11;10
6;10;11;12;10;10
7;9;10;12;11;10
8;10;11;13;12;10
9;11;12;14;14;10
10;12;13;15;13;10
11;11;12;14;11;10
12;10;11;13;12;10
13;11;12;14;11;10
14;10;11;14;10;10
15;9;10;13;13;10
16;10;12;14;13;10
17;11;12;14;11;10
18;10;11;13;12;10
19;11;12;13;11;10
20;10;11;13;10;10
21;9;10;12;11;10
22;10;11;12;12;10
23;11;12;13;13;10
24;12;12;14;12;10
25;11;12;13;11;10
26;10;11;12;12;10
27;11;12;13;11;10
28;10;11;12;12;10
29;11;12;13;11;10
30;10;11;12;10;10
31;9;10;12;11;10
32;10;11;13;10;10
33;9;10;12;9;9
34;9;10;11;9;9
35;9;9;10;10;9
36;9;10;11;9;9
37;9;9;10;9;9
38;9;10;11;10;9
39;9;10;12;9;9
40;9;10;11;9;9
41;9;10;10;10;9
42;9;11;12;11;9
43;9;11;12;10;9
44;9;11;12;9;9
45;9;10;10;10;9
46;9;10;11;9;9
47;9;10;10;10;9
48;9;10;11;10;9
49;9;10;11;10;9
50;9;10;11;10;9
51;9;10;11;9;9
52;9;10;10;10;9
53;9;11;11;9;9
54;9;10;10;9;9
55;9;9;10;9;9
56;9;10;11;10;9
57;9;10;12;9;9
58;9;10;11;9;9
59;9;10;11;9;9
60;9;10;11;10;9
61;9;10;12;9;9
62;9;10;11;9;9
63;9;9;10;9;9
64;9;10;10;10;9
65;9;10;11;9;9
66;9;10;11;11;9
67;9;11;12;10;9
68;9;11;11;11;9
69;10;11;12;12;9
70;11;12;13;11;9
71;10;11;12;10;9
72;9;10;11;9;9
73;9;9;10;9;9
74;9;10;10;10;9
75;9;10;11;9;9
76;9;10;11;9;9
77;9;10;11;10;9
78;9;10;11;9;9
79;9;10;11;9;9
80;9;9;10;10;9
81;9;10;11;9;9
82;9;9;10;9;9
83;9;9;10;9;9
84;9;9;10;9;9
85;9;10;11;9;9
86;9;9;10;10;9
87;9;10;11;11;9
88;10;11;12;10;9
89;9;10;11;11;9
90;10;11;12;12;9
91;11;12;13;11;9
92;10;11;13;10;9
93;9;10;12;9;9
94;9;10;11;9;9
95;9;9;10;9;9
96;9;10;10;10;9
97;9;10;11;11;9
98;10;11;12;10;9
99;9;10;11;11;9
